Feature,Coefficient,Absolute_Coefficient,Odds_Ratio,Odds_Multiplier_Pct,Direction,Rank
Internet Service_No,-0.9902852446076096,0.9902852446076096,0.3714707158897543,-62.852928411024564,Protector (Reduces Churn),1
Internet Service_Fiber optic,0.9145211985825428,0.9145211985825428,2.4955800785233913,149.55800785233913,Accelerator (Increases Churn),2
Contract_Two year,-0.7350563738929299,0.7350563738929299,0.4794784281474142,-52.05215718525857,Protector (Reduces Churn),3
Contract_Month-to-month,0.7059683727002962,0.7059683727002962,2.02580747203474,102.580747203474,Accelerator (Increases Churn),4
Tenure Months,-0.6551168212618035,0.6551168212618035,0.5193813842541917,-48.06186157458083,Protector (Reduces Churn),5
Dependents,-0.6380070139492713,0.6380070139492713,0.5283443583858674,-47.165564161413265,Protector (Reduces Churn),6
New_Monthly_Customer,0.3114765421912151,0.3114765421912151,1.365439755823462,36.543975582346214,Accelerator (Increases Churn),7
Monthly Charges,-0.1987327868390076,0.1987327868390076,0.8197689171122291,-18.023108288777088,Protector (Reduces Churn),8
Streaming Movies,0.1772473346446648,0.1772473346446648,1.1939263559622773,19.392635596227727,Accelerator (Increases Churn),9
Streaming TV,0.1763778745912587,0.1763778745912587,1.1928887358390499,19.288873583904987,Accelerator (Increases Churn),10
Online Security,-0.17367979048816895,0.17367979048816895,0.8405660118019787,-15.943398819802134,Protector (Reduces Churn),11
Tech Support,-0.17261982799139794,0.17261982799139794,0.8414574526140008,-15.854254738599916,Protector (Reduces Churn),12
Paperless Billing,0.16705261770244895,0.16705261770244895,1.1818164481386058,18.181644813860576,Accelerator (Increases Churn),13
Multiple Lines,0.1427576050745297,0.1427576050745297,1.1534501773078545,15.345017730785449,Accelerator (Increases Churn),14
Total Charges,0.13769206625900202,0.13769206625900202,1.1476221042901735,14.762210429017353,Accelerator (Increases Churn),15
Partner,0.13351259506845162,0.13351259506845162,1.1428356601378309,14.283566013783089,Accelerator (Increases Churn),16
Payment Method,-0.1199135197968255,0.1199135197968255,0.8869971410933817,-11.300285890661833,Protector (Reduces Churn),17
Security_Tech_Bundle,0.10111225623996392,0.10111225623996392,1.106400835190201,10.640083519020106,Accelerator (Increases Churn),18
Internet Service_DSL,0.06686148370617624,0.06686148370617624,1.0691473735856472,6.914737358564715,Accelerator (Increases Churn),19
Senior Citizen,0.057667603107434955,0.057667603107434955,1.0593628082749562,5.936280827495621,Accelerator (Increases Churn),20
Online Backup,-0.030682874762452378,0.030682874762452378,0.9697830670018994,-3.0216932998100576,Protector (Reduces Churn),21
Contract_One year,0.02018543887372392,0.02018543887372392,1.020390542556432,2.039054255643191,Accelerator (Increases Churn),22
Fiber_Monthly_Risk,0.016458716893180722,0.016458716893180722,1.0165949077235874,1.6594907723587404,Accelerator (Increases Churn),23
New_High_Spend,-0.013818903116906752,0.013818903116906752,0.9862761396255975,-1.3723860374402541,Protector (Reduces Churn),24
Device Protection,-0.0029274183253039858,0.0029274183253039858,0.997076862385559,-0.29231376144409627,Protector (Reduces Churn),25
